P(Pa),H(J/mol),T(K),S(J/mol/K),V,,,,,,,,
16448484.85,1924.847124,294.9796162,5.740211072,0,,,,,,,,
16700000,1924.847124,294.9235248,5.724928177,0,,,,,,,,
16951515.15,1924.847124,294.8674268,5.70964427,0,,,,,,,,
17203030.3,1924.847124,294.8113224,5.694359347,0,,,,,,,,
17454545.45,1924.847124,294.7552114,5.679073408,0,,,,,,,,
17706060.61,1924.847124,294.699094,5.66378645,0,,,,,,,,
17957575.76,1924.847124,294.6429702,5.648498471,0,,,,,,,,
18209090.91,1924.847124,294.5868399,5.63320947,0,,,,,,,,
18460606.06,1924.847124,294.5307033,5.617919445,0,,,,,,,,
18712121.21,1924.847124,294.4745602,5.602628393,0,,,,,,,,
18963636.36,1924.847124,294.4184108,5.587336313,0,,,,,,,,
19215151.52,1924.847124,294.3622551,5.572043203,0,,,,,,,,
19466666.67,1924.847124,294.306093,5.556749061,0,,,,,,,,
19718181.82,1924.847124,294.2499246,5.541453886,0,,,,,,,,
19969696.97,1924.847124,294.1937498,5.526157675,0,,,,,,,,
20221212.12,1924.847124,294.1375688,5.510860426,0,,,,,,,,
20472727.27,1924.847124,294.0813816,5.495562139,0,,,,,,,,
20724242.42,1924.847124,294.0251881,5.48026281,0,,,,,,,,
20975757.58,1924.847124,293.9689883,5.464962438,0,,,,,,,,
21227272.73,1924.847124,293.9127824,5.449661022,0,,,,,,,,
21478787.88,1924.847124,293.8565702,5.434358559,0,,,,,,,,
21730303.03,1924.847124,293.8003519,5.419055048,0,,,,,,,,
21981818.18,1924.847124,293.7441274,5.403750486,0,,,,,,,,
22233333.33,1924.847124,293.6878968,5.388444872,0,,,,,,,,
22484848.48,1924.847124,293.6316601,5.373138204,0,,,,,,,,
22736363.64,1924.847124,293.5754172,5.35783048,0,,,,,,,,
22987878.79,1924.847124,293.5191683,5.342521699,0,,,,,,,,
23239393.94,1924.847124,293.4629132,5.327211858,0,,,,,,,,
23490909.09,1924.847124,293.4066522,5.311900956,0,,,,,,,,
23742424.24,1924.847124,293.350385,5.296588991,0,,,,,,,,
23993939.39,1924.847124,293.2941119,5.28127596,0,,,,,,,,
24245454.55,1924.847124,293.2378327,5.265961864,0,,,,,,,,
24496969.7,1924.847124,293.1815476,5.250646698,0,,,,,,,,
24748484.85,1924.847124,293.1252565,5.235330462,0,,,,,,,,
25000000,1924.847124,293.0689594,5.220013154,0,,,,,,,,
100000,2573.807867,307.2286383,8.874017379,0,,,,,,,,
351515.1515,2573.807867,307.1744014,8.859184825,0,,,,,,,,
603030.303,2573.807867,307.1201563,8.844351582,0,,,,,,,,
854545.4545,2573.807867,307.0659031,8.829517648,0,,,,,,,,
1106060.606,2573.807867,307.0116417,8.814683022,0,,,,,,,,
1357575.758,2573.807867,306.9573723,8.799847701,0,,,,,,,,
1609090.909,2573.807867,306.9030949,8.785011683,0,,,,,,,,
1860606.061,2573.807867,306.8488093,8.770174967,0,,,,,,,,
2112121.212,2573.807867,306.7945158,8.75533755,0,,,,,,,,
2363636.364,2573.807867,306.7402142,8.740499431,0,,,,,,,,
2615151.515,2573.807867,306.6859047,8.725660606,0,,,,,,,,
2866666.667,2573.807867,306.6315872,8.710821075,0,,,,,,,,
3118181.818,2573.807867,306.5772617,8.695980835,0,,,,,,,,
3369696.97,2573.807867,306.5229283,8.681139884,0,,,,,,,,
3621212.121,2573.807867,306.4685871,8.66629822,0,,,,,,,,
3872727.273,2573.807867,306.4142379,8.651455841,0,,,,,,,,
4124242.424,2573.807867,306.3598809,8.636612745,0,,,,,,,,
4375757.576,2573.807867,306.305516,8.62176893,0,,,,,,,,
4627272.727,2573.807867,306.2511434,8.606924394,0,,,,,,,,
4878787.879,2573.807867,306.1967629,8.592079136,0,,,,,,,,
5130303.03,2573.807867,306.1423746,8.577233152,0,,,,,,,,
5381818.182,2573.807867,306.0879786,8.562386441,0,,,,,,,,
5633333.333,2573.807867,306.0335748,8.547539002,0,,,,,,,,
5884848.485,2573.807867,305.9791634,8.532690831,0,,,,,,,,
6136363.636,2573.807867,305.9247442,8.517841928,0,,,,,,,,
6387878.788,2573.807867,305.8703173,8.502992289,0,,,,,,,,
6639393.939,2573.807867,305.8158828,8.488141914,0,,,,,,,,
6890909.091,2573.807867,305.7614407,8.473290799,0,,,,,,,,
7142424.242,2573.807867,305.7069909,8.458438944,0,,,,,,,,
7393939.394,2573.807867,305.6525335,8.443586346,0,,,,,,,,
7645454.545,2573.807867,305.5980686,8.428733003,0,,,,,,,,
7896969.697,2573.807867,305.5435961,8.413878913,0,,,,,,,,
8148484.848,2573.807867,305.4891161,8.399024074,0,,,,,,,,
8400000,2573.807867,305.4346285,8.384168485,0,,,,,,,,
8651515.152,2573.807867,305.3801335,8.369312143,0,,,,,,,,
8903030.303,2573.807867,305.325631,8.354455046,0,,,,,,,,
9154545.455,2573.807867,305.271121,8.339597192,0,,,,,,,,
9406060.606,2573.807867,305.2166036,8.32473858,0,,,,,,,,
9657575.758,2573.807867,305.1620787,8.309879207,0,,,,,,,,
9909090.909,2573.807867,305.1075465,8.295019072,0,,,,,,,,
10160606.06,2573.807867,305.0530069,8.280158173,0,,,,,,,,
10412121.21,2573.807867,304.9984599,8.265296506,0,,,,,,,,
10663636.36,2573.807867,304.9439056,8.250434072,0,,,,,,,,
10915151.52,2573.807867,304.8893439,8.235570867,0,,,,,,,,
11166666.67,2573.807867,304.834775,8.22070689,0,,,,,,,,
11418181.82,2573.807867,304.7801988,8.205842139,0,,,,,,,,
11669696.97,2573.807867,304.7256153,8.190976612,0,,,,,,,,
11921212.12,2573.807867,304.6710246,8.176110306,0,,,,,,,,
12172727.27,2573.807867,304.6164267,8.161243221,0,,,,,,,,
12424242.42,2573.807867,304.5618216,8.146375354,0,,,,,,,,
12675757.58,2573.807867,304.5072092,8.131506702,0,,,,,,,,
12927272.73,2573.807867,304.4525898,8.116637266,0,,,,,,,,
13178787.88,2573.807867,304.3979631,8.101767041,0,,,,,,,,
13430303.03,2573.807867,304.3433294,8.086896027,0,,,,,,,,
13681818.18,2573.807867,304.2886885,8.072024221,0,,,,,,,,
13933333.33,2573.807867,304.2340406,8.057151623,0,,,,,,,,
14184848.48,2573.807867,304.1793856,8.042278228,0,,,,,,,,
14436363.64,2573.807867,304.1247236,8.027404037,0,,,,,,,,
14687878.79,2573.807867,304.0700545,8.012529046,0,,,,,,,,
14939393.94,2573.807867,304.0153784,7.997653255,0,,,,,,,,
15190909.09,2573.807867,303.9606953,7.98277666,0,,,,,,,,
15442424.24,2573.807867,303.9060053,7.967899261,0,,,,,,,,
15693939.39,2573.807867,303.8513083,7.953021055,0,,,,,,,,
15945454.55,2573.807867,303.7966043,7.93814204,0,,,,,,,,
16196969.7,2573.807867,303.7418935,7.923262215,0,,,,,,,,
16448484.85,2573.807867,303.6871758,7.908381577,0,,,,,,,,
16700000,2573.807867,303.6324512,7.893500126,0,,,,,,,,
16951515.15,2573.807867,303.5777197,7.878617858,0,,,,,,,,
17203030.3,2573.807867,303.5229814,7.863734772,0,,,,,,,,
17454545.45,2573.807867,303.4682363,7.848850866,0,,,,,,,,
17706060.61,2573.807867,303.4134843,7.833966139,0,,,,,,,,
17957575.76,2573.807867,303.3587256,7.819080587,0,,,,,,,,
18209090.91,2573.807867,303.3039602,7.804194211,0,,,,,,,,
18460606.06,2573.807867,303.249188,7.789307007,0,,,,,,,,
18712121.21,2573.807867,303.194409,7.774418974,0,,,,,,,,
18963636.36,2573.807867,303.1396234,7.759530109,0,,,,,,,,
19215151.52,2573.807867,303.0848311,7.744640412,0,,,,,,,,
19466666.67,2573.807867,303.0300321,7.72974988,0,,,,,,,,
19718181.82,2573.807867,302.9752264,7.714858511,0,,,,,,,,
19969696.97,2573.807867,302.9204142,7.699966304,0,,,,,,,,
20221212.12,2573.807867,302.8655953,7.685073257,0,,,,,,,,
20472727.27,2573.807867,302.8107698,7.670179367,0,,,,,,,,
20724242.42,2573.807867,302.7559377,7.655284633,0,,,,,,,,
20975757.58,2573.807867,302.7010991,7.640389053,0,,,,,,,,
21227272.73,2573.807867,302.646254,7.625492626,0,,,,,,,,
21478787.88,2573.807867,302.5914023,7.610595349,0,,,,,,,,
21730303.03,2573.807867,302.5365441,7.595697221,0,,,,,,,,
21981818.18,2573.807867,302.4816795,7.580798239,0,,,,,,,,
22233333.33,2573.807867,302.4268083,7.565898402,0,,,,,,,,
22484848.48,2573.807867,302.3719308,7.550997709,0,,,,,,,,
22736363.64,2573.807867,302.3170468,7.536096157,0,,,,,,,,
22987878.79,2573.807867,302.2621564,7.521193744,0,,,,,,,,
23239393.94,2573.807867,302.2072596,7.506290469,0,,,,,,,,
23490909.09,2573.807867,302.1523564,7.491386329,0,,,,,,,,
23742424.24,2573.807867,302.0974469,7.476481324,0,,,,,,,,
23993939.39,2573.807867,302.042531,7.461575451,0,,,,,,,,
24245454.55,2573.807867,301.9876088,7.446668708,0,,,,,,,,
24496969.7,2573.807867,301.9326803,7.431761094,0,,,,,,,,
24748484.85,2573.807867,301.8777456,7.416852607,0,,,,,,,,
25000000,2573.807867,301.8228045,7.401943245,0,,,,,,,,
100000,3222.768611,315.8478211,10.95723517,0,,,,,,,,
351515.1515,3222.768611,315.7948866,10.94276104,0,,,,,,,,
603030.303,3222.768611,315.7419433,10.92828641,0,,,,,,,,
854545.4545,3222.768611,315.6889912,10.91381126,0,,,,,,,,
1106060.606,3222.768611,315.6360304,10.8993356,0,,,,,,,,
1357575.758,3222.768611,315.5830608,10.88485943,0,,,,,,,,
1609090.909,3222.768611,315.5300825,10.87038274,0,,,,,,,,
1860606.061,3222.768611,315.4770956,10.85590553,0,,,,,,,,
2112121.212,3222.768611,315.4240999,10.8414278,0,,,,,,,,
2363636.364,3222.768611,315.3710956,10.82694954,0,,,,,,,,
2615151.515,3222.768611,315.3180827,10.81247077,0,,,,,,,,
2866666.667,3222.768611,315.2650612,10.79799146,0,,,,,,,,
3118181.818,3222.768611,315.2120312,10.78351163,0,,,,,,,,
3369696.97,3222.768611,315.1589925,10.76903126,0,,,,,,,,
3621212.121,3222.768611,315.1059453,10.75455036,0,,,,,,,,
3872727.273,3222.768611,315.0528897,10.74006893,0,,,,,,,,
4124242.424,3222.768611,314.9998255,10.72558696,0,,,,,,,,
4375757.576,3222.768611,314.9467528,10.71110445,0,,,,,,,,
4627272.727,3222.768611,314.8936717,10.6966214,0,,,,,,,,
4878787.879,3222.768611,314.8405822,10.6821378,0,,,,,,,,
5130303.03,3222.768611,314.7874843,10.66765366,0,,,,,,,,
5381818.182,3222.768611,314.734378,10.65316898,0,,,,,,,,
5633333.333,3222.768611,314.6812633,10.63868374,0,,,,,,,,
5884848.485,3222.768611,314.6281403,10.62419795,0,,,,,,,,
6136363.636,3222.768611,314.575009,10.60971161,0,,,,,,,,
6387878.788,3222.768611,314.5218694,10.59522471,0,,,,,,,,
6639393.939,3222.768611,314.4687215,10.58073726,0,,,,,,,,
6890909.091,3222.768611,314.4155653,10.56624924,0,,,,,,,,
7142424.242,3222.768611,314.3624009,10.55176067,0,,,,,,,,
7393939.394,3222.768611,314.3092283,10.53727153,0,,,,,,,,
7645454.545,3222.768611,314.2560476,10.52278182,0,,,,,,,,
7896969.697,3222.768611,314.2028586,10.50829155,0,,,,,,,,
8148484.848,3222.768611,314.1496615,10.49380071,0,,,,,,,,
8400000,3222.768611,314.0964563,10.4793093,0,,,,,,,,
8651515.152,3222.768611,314.043243,10.46481731,0,,,,,,,,
8903030.303,3222.768611,313.9900215,10.45032475,0,,,,,,,,
9154545.455,3222.768611,313.9367921,10.43583161,0,,,,,,,,
9406060.606,3222.768611,313.8835545,10.42133789,0,,,,,,,,
9657575.758,3222.768611,313.830309,10.40684359,0,,,,,,,,
9909090.909,3222.768611,313.7770555,10.39234871,0,,,,,,,,
10160606.06,3222.768611,313.723794,10.37785324,0,,,,,,,,
10412121.21,3222.768611,313.6705245,10.36335718,0,,,,,,,,
10663636.36,3222.768611,313.6172471,10.34886054,0,,,,,,,,
10915151.52,3222.768611,313.5639617,10.3343633,0,,,,,,,,
11166666.67,3222.768611,313.5106685,10.31986547,0,,,,,,,,
11418181.82,3222.768611,313.4573674,10.30536705,0,,,,,,,,
11669696.97,3222.768611,313.4040585,10.29086803,0,,,,,,,,
11921212.12,3222.768611,313.3507417,10.27636841,0,,,,,,,,
12172727.27,3222.768611,313.2974171,10.26186819,0,,,,,,,,
12424242.42,3222.768611,313.2440847,10.24736737,0,,,,,,,,
12675757.58,3222.768611,313.1907445,10.23286594,0,,,,,,,,
12927272.73,3222.768611,313.1373966,10.2183639,0,,,,,,,,
13178787.88,3222.768611,313.084041,10.20386126,0,,,,,,,,
13430303.03,3222.768611,313.0306776,10.18935801,0,,,,,,,,
13681818.18,3222.768611,312.9773065,10.17485414,0,,,,,,,,
13933333.33,3222.768611,312.9239278,10.16034966,0,,,,,,,,
14184848.48,3222.768611,312.8705415,10.14584456,0,,,,,,,,
14436363.64,3222.768611,312.8171475,10.13133885,0,,,,,,,,
14687878.79,3222.768611,312.7637458,10.11683251,0,,,,,,,,
14939393.94,3222.768611,312.7103367,10.10232555,0,,,,,,,,
15190909.09,3222.768611,312.6569199,10.08781797,0,,,,,,,,
15442424.24,3222.768611,312.6034956,10.07330976,0,,,,,,,,
